=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.30 15:50:58 =~=~=~=~=~=~=~=~=~=~=~=
meanV1, meanV2, meanRatio, stdV1, stdV2, stdRatio, Elevation
2355,1.356,0.647,1.038,0.012,0.006,0.011,42.26
2365,1.355,0.645,1.040,0.012,0.005,0.013,42.23
2375,1.354,0.644,1.041,0.013,0.005,0.012,42.20
2385,1.350,0.644,1.039,0.010,0.006,0.008,42.17
2395,1.350,0.643,1.039,0.013,0.006,0.011,42.14
2405,1.346,0.641,1.040,0.010,0.005,0.012,42.12
2415,1.345,0.639,1.041,0.013,0.005,0.013,42.09
2425,1.343,0.639,1.041,0.012,0.006,0.010,42.06
2435,1.341,0.639,1.040,0.012,0.006,0.009,42.03
2446,1.341,0.639,1.039,0.013,0.006,0.010,42.00
2456,1.340,0.639,1.039,0.013,0.006,0.011,41.97
2466,1.340,0.638,1.040,0.013,0.006,0.011,41.94
2476,1.337,0.636,1.040,0.011,0.005,0.011,41.91
2486,1.335,0.635,1.041,0.012,0.005,0.012,41.88
2496,1.331,0.634,1.040,0.010,0.006,0.009,41.85
2506,1.330,0.633,1.040,0.012,0.006,0.011,41.83
2516,1.328,0.632,1.040,0.012,0.006,0.011,41.80
2526,1.326,0.632,1.039,0.011,0.006,0.010,41.77
2536,1.326,0.631,1.041,0.013,0.006,0.013,41.74
2546,1.326,0.630,1.041,0.013,0.006,0.012,41.71
2556,1.325,0.630,1.041,0.012,0.006,0.011,41.68
2566,1.322,0.629,1.040,0.011,0.006,0.009,41.66
2576,1.321,0.629,1.040,0.013,0.006,0.010,41.63
2586,1.321,0.629,1.039,0.013,0.006,0.010,41.60
2596,1.321,0.629,1.040,0.013,0.006,0.011,41.57
2606,1.320,0.628,1.040,0.013,0.006,0.011,41.54
2617,1.318,0.627,1.040,0.011,0.006,0.011,41.51
2627,1.316,0.627,1.039,0.012,0.006,0.011,41.48
2637,1.316,0.626,1.040,0.013,0.006,0.012,41.45
2647,1.316,0.626,1.041,0.013,0.006,0.011,41.42
2657,1.315,0.625,1.041,0.013,0.006,0.011,41.39
2667,1.314,0.625,1.042,0.013,0.006,0.011,41.37
2677,1.312,0.624,1.041,0.011,0.006,0.009,41.34
2687,1.312,0.624,1.040,0.013,0.006,0.010,41.31
2697,1.311,0.624,1.040,0.013,0.006,0.010,41.28
2707,1.311,0.624,1.040,0.013,0.006,0.011,41.25
2717,1.311,0.624,1.040,0.013,0.006,0.011,41.22
2727,1.309,0.623,1.040,0.011,0.006,0.011,41.19
2737,1.307,0.622,1.040,0.011,0.006,0.011,41.16
2747,1.306,0.622,1.040,0.012,0.006,0.012,41.14
2757,1.304,0.620,1.040,0.011,0.006,0.011,41.11
2767,1.302,0.619,1.040,0.011,0.005,0.010,41.08
2778,1.301,0.619,1.040,0.012,0.006,0.010,41.05
2788,1.299,0.619,1.038,0.011,0.006,0.009,41.02
2798,1.297,0.619,1.037,0.011,0.006,0.009,40.99
2808,1.297,0.619,1.038,0.013,0.006,0.011,40.96
2818,1.297,0.618,1.039,0.013,0.006,0.012,40.93
2828,1.295,0.617,1.039,0.012,0.006,0.012,40.90
2838,1.293,0.616,1.039,0.011,0.006,0.011,40.87
2848,1.292,0.615,1.040,0.012,0.006,0.011,40.85
2858,1.292,0.615,1.041,0.013,0.006,0.011,40.82
2868,1.291,0.615,1.039,0.012,0.006,0.010,40.79
