=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.30 14:27:45 =~=~=~=~=~=~=~=~=~=~=~=
meanV1, meanV2, meanRatio, stdV1, stdV2, stdRatio, Elevation
3955,1.951,3.180,0.304,0.090,0.141,0.004,51.64
3965,1.970,3.209,0.304,0.040,0.063,0.003,51.62
3975,1.954,3.182,0.304,0.005,0.007,0.003,51.59
3985,1.961,3.187,0.305,0.027,0.038,0.004,51.56
3995,2.068,3.360,0.305,0.138,0.223,0.003,51.54
4005,2.085,3.404,0.303,0.067,0.121,0.003,51.51
4015,2.004,3.332,0.298,0.098,0.086,0.006,51.48
4025,2.030,3.348,0.300,0.046,0.050,0.005,51.45
4035,2.026,3.345,0.300,0.017,0.032,0.003,51.43
4045,2.031,3.358,0.299,0.026,0.047,0.003,51.40
4055,2.045,3.381,0.299,0.034,0.057,0.003,51.37
4065,2.050,3.392,0.299,0.026,0.046,0.003,51.35
4075,2.049,3.389,0.299,0.019,0.031,0.003,51.32
4086,2.056,3.399,0.299,0.028,0.044,0.003,51.29
4096,2.061,3.405,0.300,0.026,0.040,0.003,51.26
4106,2.060,3.401,0.300,0.020,0.030,0.003,51.24
4116,2.065,3.403,0.300,0.025,0.037,0.003,51.21
4126,2.040,3.359,0.301,0.011,0.019,0.003,51.18
4136,2.037,3.351,0.301,0.019,0.029,0.003,51.16
4146,2.059,3.383,0.301,0.044,0.067,0.003,51.13
4156,2.062,3.385,0.302,0.023,0.036,0.003,51.10
4166,2.061,3.378,0.302,0.021,0.028,0.004,51.08
4176,2.053,3.361,0.302,0.012,0.017,0.003,51.05
4186,2.051,3.354,0.303,0.019,0.028,0.003,51.02
4196,2.055,3.357,0.303,0.026,0.040,0.003,51.00
4206,2.062,3.369,0.303,0.028,0.046,0.003,50.97
4216,2.055,3.356,0.303,0.014,0.022,0.003,50.94
4226,2.044,3.336,0.303,0.011,0.015,0.003,50.91
4236,2.035,3.323,0.303,0.012,0.022,0.003,50.89
4247,2.034,3.322,0.303,0.020,0.032,0.003,50.86
4257,2.017,3.297,0.303,0.005,0.010,0.003,50.83
4267,2.000,3.274,0.302,0.006,0.013,0.003,50.80
4277,1.998,3.275,0.302,0.019,0.035,0.003,50.78
4287,1.991,3.265,0.302,0.016,0.028,0.003,50.75
4297,1.996,3.275,0.302,0.025,0.045,0.003,50.72
4307,2.010,3.299,0.302,0.034,0.057,0.003,50.70
4317,2.003,3.290,0.301,0.014,0.025,0.003,50.67
4327,1.988,3.266,0.301,0.006,0.011,0.003,50.64
4337,1.984,3.259,0.301,0.017,0.026,0.003,50.61
4347,1.987,3.262,0.301,0.023,0.037,0.003,50.59
4357,1.953,3.207,0.301,0.021,0.036,0.003,50.56
4367,1.905,3.125,0.302,0.032,0.054,0.003,50.53
4377,1.889,3.099,0.302,0.011,0.018,0.003,50.51
4387,1.882,3.082,0.302,0.013,0.019,0.003,50.48
4397,1.919,3.139,0.303,0.058,0.091,0.003,50.45
4407,1.960,3.204,0.303,0.061,0.098,0.003,50.43
4418,1.939,3.165,0.303,0.013,0.025,0.003,50.40
4428,1.908,3.109,0.304,0.014,0.029,0.004,50.37
