Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Upward_reflctd_radiation
.3180E+03 .6346E+00 .2622E-01 .3747E-01 .4644E-01 .8967E-02 .2622E-01 .2586E-01 .5208E-01 .2622E-01 .3747E-01 .2136E-02
.3185E+03 .6824E+00 .3401E-01 .4914E-01 .6078E-01 .1163E-01 .3401E-01 .3393E-01 .6793E-01 .3401E-01 .4914E-01 .2836E-02
.3190E+03 .7535E+00 .4132E-01 .5984E-01 .7397E-01 .1413E-01 .4132E-01 .4133E-01 .8265E-01 .4132E-01 .5984E-01 .3502E-02
.3195E+03 .6833E+00 .3328E-01 .4628E-01 .5766E-01 .1138E-01 .3328E-01 .3198E-01 .6526E-01 .3328E-01 .4628E-01 .2774E-02
.3200E+03 .8369E+00 .4048E-01 .5533E-01 .6917E-01 .1385E-01 .4048E-01 .3826E-01 .7874E-01 .4048E-01 .5533E-01 .3378E-02
.3205E+03 .9082E+00 .5268E-01 .7334E-01 .9135E-01 .1802E-01 .5268E-01 .5072E-01 .1034E+00 .5268E-01 .7334E-01 .4511E-02
.3210E+03 .7156E+00 .4818E-01 .6879E-01 .8526E-01 .1648E-01 .4818E-01 .4758E-01 .9576E-01 .4818E-01 .6879E-01 .4257E-02
.3215E+03 .6753E+00 .4673E-01 .6601E-01 .8199E-01 .1598E-01 .4673E-01 .4568E-01 .9241E-01 .4673E-01 .6601E-01 .4144E-02
.3220E+03 .8151E+00 .4941E-01 .6598E-01 .8288E-01 .1690E-01 .4941E-01 .4570E-01 .9511E-01 .4941E-01 .6598E-01 .4249E-02
.3225E+03 .7018E+00 .4352E-01 .5744E-01 .7232E-01 .1489E-01 .4352E-01 .3980E-01 .8333E-01 .4352E-01 .5744E-01 .3759E-02
.3230E+03 .6403E+00 .4439E-01 .5933E-01 .7451E-01 .1518E-01 .4439E-01 .4113E-01 .8552E-01 .4439E-01 .5933E-01 .3922E-02
.3235E+03 .6833E+00 .5588E-01 .7424E-01 .9335E-01 .1911E-01 .5588E-01 .5149E-01 .1074E+00 .5588E-01 .7424E-01 .4979E-02
