632,0.068,0.033,1.042,0.001,0.002,0.081
634,0.068,0.034,1.000,0.000,0.001,0.042
636,0.068,0.034,1.000,0.000,0.000,0.000
638,0.068,0.034,1.000,0.000,0.000,0.000
640,0.068,0.034,1.000,0.000,0.000,0.000
642,0.069,0.034,1.007,0.002,0.000,0.023
644,0.068,0.034,1.000,0.000,0.000,0.007
646,0.069,0.034,1.004,0.001,0.000,0.016
649,0.068,0.034,1.000,0.000,0.000,0.004
651,0.068,0.034,1.013,0.001,0.002,0.055
653,0.068,0.033,1.023,0.002,0.002,0.077
655,0.068,0.033,1.026,0.003,0.002,0.080
657,0.068,0.034,1.009,0.002,0.001,0.064
659,0.068,0.034,1.000,0.000,0.000,0.009
661,0.068,0.034,1.008,0.002,0.001,0.044
663,0.068,0.034,1.005,0.001,0.001,0.040
665,0.068,0.034,1.005,0.001,0.001,0.040
667,0.068,0.034,1.005,0.001,0.001,0.040
669,0.069,0.034,1.020,0.001,0.001,0.054
671,0.068,0.034,1.000,0.000,0.000,0.020
673,0.068,0.034,1.008,0.000,0.001,0.037
675,0.068,0.034,1.008,0.000,0.001,0.036
677,0.068,0.034,1.008,0.000,0.001,0.036
679,0.068,0.034,1.017,0.000,0.001,0.051
681,0.068,0.034,1.017,0.000,0.001,0.050
683,0.069,0.034,1.004,0.001,0.000,0.020
685,0.069,0.034,1.020,0.001,0.002,0.054
687,0.068,0.034,1.017,0.000,0.001,0.050
689,0.068,0.033,1.046,0.001,0.002,0.086
691,0.068,0.034,1.000,0.000,0.001,0.046
694,0.068,0.034,1.000,0.002,0.000,0.023
696,0.068,0.034,0.996,0.002,0.000,0.028
698,0.069,0.034,1.004,0.001,0.000,0.017
700,0.068,0.034,0.996,0.001,0.000,0.017
702,0.068,0.034,1.008,0.000,0.001,0.038
704,0.068,0.034,1.013,0.001,0.001,0.054
706,0.068,0.034,1.006,0.002,0.001,0.060
708,0.068,0.034,0.996,0.001,0.000,0.018
710,0.068,0.034,1.008,0.000,0.001,0.038
712,0.068,0.034,1.000,0.000,0.000,0.008
714,0.068,0.034,1.005,0.001,0.001,0.041
716,0.068,0.034,1.008,0.000,0.001,0.036
718,0.068,0.034,0.998,0.002,0.001,0.048
