COLUMN_1 COLUMN_2 COLUMN_3 COLUMN_4 COLUMN_5 COLUMN_6 COLUMN_7 COLUMN_8 COLUMN_9 COLUMN_10 COLUMN_11 COLUMN_12
214.160 7.81581E-19 8.54762E-19 8.62161E-19 8.60421E-19 8.95443E-19 7.91937E-19 8.57013E-19 7.68548E-19 9.22842E-19 8.96602E-19 9.32637E-19
214.170 8.62554E-19 8.83470E-19 8.33807E-19 8.97911E-19 9.03225E-19 8.22784E-19 9.09387E-19 8.82621E-19 8.90134E-19 8.55289E-19 9.42480E-19
214.180 8.15495E-19 8.37704E-19 9.34791E-19 8.96244E-19 8.93207E-19 8.83736E-19 8.91238E-19 8.87974E-19 9.16184E-19 8.53847E-19 9.17268E-19
214.190 8.07120E-19 8.42666E-19 8.69675E-19 9.35340E-19 8.67141E-19 8.50089E-19 9.13664E-19 8.32800E-19 9.02091E-19 8.75509E-19 9.02030E-19
214.200 7.93718E-19 8.76194E-19 8.99219E-19 8.77483E-19 8.68231E-19 8.47787E-19 8.84261E-19 8.27311E-19 9.24254E-19 9.25063E-19 9.25416E-19
214.210 7.82625E-19 8.81381E-19 9.02635E-19 8.27800E-19 8.39745E-19 8.49740E-19 9.30778E-19 8.31802E-19 9.08787E-19 8.75699E-19 9.45982E-19
214.220 7.95275E-19 8.49263E-19 9.50395E-19 8.58309E-19 8.89219E-19 8.25608E-19 9.50009E-19 8.32183E-19 8.34416E-19 8.25262E-19 8.89727E-19
214.230 8.89200E-19 8.39143E-19 9.25993E-19 8.89663E-19 8.86238E-19 8.25218E-19 8.81532E-19 8.49458E-19 8.90902E-19 8.58415E-19 8.82212E-19
214.240 7.54870E-19 9.19660E-19 9.23788E-19 8.82101E-19 8.56027E-19 8.76873E-19 9.13882E-19 8.76699E-19 9.39525E-19 8.13224E-19 8.66681E-19
214.250 7.61385E-19 9.02047E-19 9.04081E-19 8.75333E-19 8.63641E-19 8.55690E-19 9.39004E-19 8.41916E-19 9.56472E-19 8.73319E-19 8.95636E-19
214.260 8.61418E-19 9.38629E-19 9.38551E-19 8.48535E-19 8.80150E-19 8.79084E-19 9.35792E-19 8.65361E-19 9.36507E-19 8.89325E-19 8.98374E-19
214.270 8.38559E-19 9.30433E-19 9.40008E-19 8.75081E-19 8.72555E-19 8.50675E-19 9.06653E-19 8.44294E-19 9.24652E-19 8.83101E-19 9.07408E-19
214.280 7.60912E-19 8.41108E-19 9.32568E-19 8.72357E-19 8.55798E-19 8.70996E-19 9.81470E-19 8.31008E-19 9.74066E-19 8.94723E-19 9.55060E-19
214.290 8.65488E-19 8.84078E-19 8.75084E-19 8.97193E-19 8.76133E-19 9.01495E-19 8.68335E-19 8.84507E-19 9.35935E-19 8.79272E-19 9.09004E-19
214.300 7.64448E-19 8.26496E-19 9.01730E-19 9.20978E-19 8.86822E-19 8.47316E-19 9.10424E-19 8.49948E-19 9.48577E-19 8.87555E-19 9.10544E-19
214.310 8.34006E-19 8.22593E-19 8.71408E-19 8.95610E-19 8.72567E-19 8.51340E-19 9.19610E-19 8.37769E-19 9.37848E-19 8.74464E-19 9.41220E-19
214.320 9.38505E-19 8.58255E-19 8.34998E-19 8.19640E-19 8.65660E-19 8.63390E-19 9.02883E-19 8.49323E-19 9.32824E-19 8.77694E-19 9.65922E-19
214.330 8.46101E-19 8.65146E-19 9.58893E-19 8.14463E-19 9.15007E-19 8.26816E-19 8.83512E-19 8.97551E-19 9.35210E-19 8.63835E-19 9.42139E-19
214.340 7.53980E-19 8.55106E-19 8.54362E-19 8.72315E-19 8.98173E-19 8.32476E-19 9.18113E-19 8.64690E-19 9.85135E-19 9.32899E-19 9.57812E-19
214.350 7.51292E-19 8.53760E-19 9.37087E-19 8.47134E-19 9.05835E-19 8.90037E-19 8.59880E-19 8.28055E-19 9.42044E-19 8.96448E-19 9.38015E-19
214.360 7.66834E-19 9.35965E-19 9.21712E-19 9.05606E-19 9.11399E-19 8.82519E-19 9.10317E-19 9.10692E-19 9.33264E-19 8.64823E-19 9.06959E-19
214.370 8.12795E-19 8.94071E-19 9.32931E-19 9.04027E-19 8.48276E-19 9.01592E-19 8.66130E-19 8.96559E-19 9.15288E-19 8.48543E-19 8.96477E-19
214.380 8.01715E-19 8.97762E-19 8.98815E-19 8.62749E-19 8.95576E-19 8.74520E-19 9.25617E-19 8.77505E-19 9.12584E-19 8.40346E-19 9.17668E-19
214.390 8.70669E-19 8.68415E-19 8.86339E-19 9.02211E-19 9.28117E-19 8.41182E-19 9.42600E-19 8.77667E-19 9.54038E-19 8.60819E-19 9.12188E-19
214.400 8.41552E-19 9.12741E-19 9.60879E-19 9.00852E-19 9.31697E-19 8.35139E-19 9.59015E-19 9.03181E-19 1.01390E-18 8.73170E-19 9.48027E-19
214.410 7.94874E-19 9.55042E-19 9.05551E-19 9.41261E-19 9.03794E-19 8.43144E-19 9.29661E-19 8.78219E-19 9.82881E-19 8.79669E-19 9.79780E-19
214.420 8.13379E-19 8.57396E-19 8.85103E-19 1.00611E-18 8.79638E-19 8.51536E-19 8.94589E-19 8.80644E-19 1.00554E-18 9.03134E-19 9.50426E-19
214.430 7.90236E-19 8.87122E-19 8.98138E-19 9.40193E-19 8.50706E-19 8.93567E-19 9.20937E-19 8.52092E-19 9.73707E-19 8.89230E-19 9.38652E-19
214.440 8.22911E-19 8.99928E-19 9.25041E-19 9.19849E-19 8.94732E-19 8.68562E-19 8.39895E-19 8.75972E-19 9.64610E-19 8.78641E-19 9.62298E-19
